Id_bien,Id_codedep_codecommune,No_voie,B_T_Q,Type_de_voie,Voie,Code_postal,Code_type_local,Type_local,Nombre_pieces_principales,Surface_Carrez_du_1er_lot
13572,75107,25,,RUE,PIERRE LEROUX,75007,2,Appartement,2,57
30353,75108,41,,RUE,DU COLISEE,75008,2,Appartement,1,15.35
08090,75108,10,,AV,DE MESSINE,75008,2,Appartement,1,48.51
04981,75109,14,,RUE,DE MILAN,75009,2,Appartement,7,122.24
19037,75109,22,,RUE,SAULNIER,75009,2,Appartement,1,18.24
05770,75109,12,,RUE,MAYRAN,75009,2,Appartement,1,18.27
14626,75110,15,,RUE,CAIL,75010,2,Appartement,3,78.92
14696,75110,21,,RUE,DU FBG SAINT DENIS,75010,2,Appartement,4,73.48
06189,75110,50,,RUE,DU FBG ST MARTIN,75010,2,Appartement,3,74.07
15563,75110,210,,RUE,SAINT MAUR,75010,2,Appartement,2,38.08
08322,75110,18,,RUE,LOUIS BLANC,75010,2,Appartement,3,46.23
06456,75111,52,,RUE,SAINT MAUR,75011,2,Appartement,3,51.3
26895,75111,13,,BD,DE MENILMONTANT,75011,2,Appartement,2,32.66
14647,75111,18,,RUE,BASFROI,75011,2,Appartement,1,40.3
02521,75111,10,,RUE,DE LA PETITE PIERRE,75011,2,Appartement,2,27.02
06356,75112,80,,RUE,DE WATTIGNIES,75012,2,Appartement,3,68.9
02912,75112,251,,RUE,DE CHARENTON,75012,2,Appartement,1,15.36
07132,75112,120,,AV,DAUMESNIL,75012,2,Appartement,4,83.88
18603,75112,12,,RUE,MOREAU,75012,2,Appartement,1,54.02
17003,75112,8,,PAS,ABEL LEBLANC,75012,2,Appartement,2,27.15
08741,75113,8,,RUE,DU JURA,75013,2,Appartement,2,36.34
15077,75113,3,,SQ,DE PORT-ROYAL,75013,2,Appartement,2,27.89
17920,75114,37,,RUE,DE LA TOMBE ISSOIRE,75014,2,Appartement,2,18.85
20122,75114,214,,AV,DU MAINE,75014,2,Appartement,1,41.06
06306,75115,7,,RUE,GAGER GABILLOT,75015,2,Appartement,1,53.13
